path,src,zip,member,licence,side,palette
0000152.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,4
0000153.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,16,4
0000154.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,16,4
0000155.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,35,4
0000156.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,35,4
0000157.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,4
0000158.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,4
0000159.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,4
0000160.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,4
0000161.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,4
0000162.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,4
0000163.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,18,4
0000164.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,18,4
0000165.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,18,4
0000166.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,18,4
0000167.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,18,4
0000168.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,18,4
0000169.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,23,5
0000170.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,23,5
0000171.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,16,5
0000172.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,16,5
0000173.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,16,6
0000174.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,16,6
0000175.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,28,5
0000176.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,28,5
